solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M109,F253,M06 แปลงที่ 37 -42160044,14.777743098846,99.791039230741,9.37,Baler,2023-03-09,2023-03-09,2023-03-09,0.106,09:54,00:00,13:32,01:11,14:44,11.244,11244.0
S1,M109,F254,M06 แปลงที่ 38 -42160050,14.776947893842,99.790966111847,6.97,Baler,2023-03-09,2023-03-09,2023-03-09,0.004,10:53,00:00,14:44,00:57,15:40,8.364,8364.0
S1,M109,F256,M06 แปลงที่ 40 -4216336,14.778640153398,99.787776919425,10.33,Baler,2023-03-08,2023-03-10,2023-03-09,1.7,09:22,00:05,15:46,01:17,08:03,12.396,12396.0
S1,M112,SS,จุดเริ่มต้น,14.7518,99.7934,0.0,Picker,2023-02-05,2023-02-10,2023-02-10,0.0,00:00,00:00,02:27,00:00,02:27,0.0,0.0
S1,M112,F221,M06 แปลงที่ 5 -42160020,14.78058264753,99.805323118006,9.31,Picker,2023-02-10,2023-02-10,2023-02-10,0.0,10:26,00:10,10:27,00:47,11:14,11.172,11172.0
S1,M112,F220,M06 แปลงที่ 4 -42160017,14.781933212904,99.804626469986,10.0,Picker,2023-02-10,2023-02-10,2023-02-10,1.287,11:55,00:04,11:55,00:50,13:45,12.0,12000.0
S1,M112,F218,M06 แปลงที่ 2 -42160086,14.782386226441,99.803268969525,12.71,Picker,2023-02-10,2023-02-10,2023-02-10,2.617,13:59,00:08,14:59,01:01,15:60,15.252,15252.0
S1,M112,F217,M06 แปลงที่ 1 -42160026,14.782584142021,99.803938559077,8.88,Picker,2023-02-10,2023-02-10,2023-02-10,0.007,15:07,00:00,16:07,00:46,16:53,10.656,10656.0
S1,M112,F219,M06 แปลงที่ 3 -42160108,14.783258869635,99.804578679598,7.7,Picker,2023-02-11,2023-02-11,2023-02-11,0.35,08:09,00:01,08:10,00:41,08:50,9.24,9240.0
S1,M112,F222,M06 แปลงที่ 6 -42160116,14.782601687452,99.805388028404,12.02,Picker,2023-02-11,2023-02-11,2023-02-11,0.336,11:01,00:01,11:02,00:58,13:00,14.424,14424.0
S1,M112,F223,M06 แปลงที่ 7 -42160123,14.780752107283,99.808720883168,6.43,Picker,2023-02-12,2023-02-12,2023-02-12,0.67,11:28,00:02,11:28,00:36,13:04,7.716,7716.0
S1,M112,F225,M06 แปลงที่ 9 -42160038,14.781580772572,99.809022973283,9.52,Picker,2023-02-20,2023-02-20,2023-02-20,0.097,15:15,00:00,16:16,00:48,17:04,11.424,11424.0
S1,M112,F232,M06 แปลงที่ 16 -42160128,14.781636448617,99.807246435313,3.55,Picker,2023-02-20,2023-02-20,2023-02-20,0.033,13:22,00:00,17:04,00:24,17:28,4.26,4260.0
